bus1,bus2
BHRSHRF_B,FATUAH 2
BHRSHRF_B,FATUAH 2
BHRSHRF_B,BHRSHRF_PG
BHRSHRF_B,BHRSHRF_PG
BHRSHRF_B,BHRSHRF_PG
PATHRDI,PUTKI
PATHRDI,PUTKI
BHADRAK1,BHADRAK2
BHADRAK1,BHADRAK2
THRUVLI2,BHNGAR2
THRUVLI2,BHNGAR2
MENDHASAL2,ATRI2
MENDHASAL,PANDIABILI 4
MENDHASAL,PANDIABILI 4
BONGA1,KRSNGR1
BONGA1,KRSNGR1
FATEH-PG,SASARAM7
KISHAN 2,DALKOLA
KISHAN 2,DALKOLA
MENDHASAL,PANDIABILI 4
MENDHASAL,PANDIABILI 4
KISHAN 2,DALKOLA
KISHAN 2,DALKOLA
KHANDONG1,UMRANGSHU1
MONARCHAK1,UDAIPUR1
NAZIRA6,NTPS6
NAZIRA6,NTPS6
RANGIA1,KAHLIPARA1
AGIA1,AGIA2
AGIA1,AGIA2
DEPOTA1,GHORAMARI1
KHANDONG1,UMRANGSHU1
SONABIL1,SONABIL2
SONABIL1,SONABIL2
MONARCHAK1,UDAIPUR1
AGARTALA1,DHALABIL1
MALBAS2,SAMTSE2
MALBAS2,MALBASE66
SNGHGON,SINGHGN66
CHUKHA 2,CHUKHA SPLIT
CHUKHA 2,CHUKHA66
RURICHU2,SEMTOK2
RURICHU2,RURICHU66
SAMTSE2,SAMTSE66
RURICHU66,BASACHU66
JALANDHAR21,KARTARPUR21
DHARAMKOT,DHARAMKOTE
BATALA,JAYANTI
NAKODAR,JAMSHER
NAKODAR,JAMSHER
JAMSHER,SULTANPUR
ROPAR,GAUNSGARH
LUDHIANA,LLK-1
LUDHIANA,LLK-1
ROHTAK,ROHTAK
ROHTAK,ROHTAK
ROHTAK,ROHTAK
KARNAL,NILOKHERI
LUKHI,PEHOWA
KIRMICH,AMIN
BASTARA,BASTARA
BASTARA,BASTARA
REWARI,REWARI_SPLIT
DEEPALPUR,KABULPUR
DEEPALPUR,KABULPUR
BHADROONA,SANCHO21
BUNDI,HINDOLI1
MERTA,MERTA-42
BEAWAR1,KHARWA1
BHARATPUR-21,BHTRATPU
BHARATPUR-21,BHTRATPU
KISH-BAS,KISH-BAS
NAGAUR,NOKHA
ALWAR,MIA-ALWA
BEAWAR,BUNDI
MADA-SUZ,AKAL-2
JODHPU-2,PALI
JODHPU-2,JODHPU-4
JODHPU-2,JODHPU-4
BHOPALGA,KHINVSAR
DECHU,RAMGARH
PATPARGANJ2,GEETACOLONY
PATPARGANJ2,GEETACOLONY
MEHRAULI_S,BADARPR2
MEHRAULI_S,BADARPR2
BAWANA4,MUNDKA
BAWANA4,MUNDKA
SAHIBAD,SAHIBAD2
SAHIBAD,SAHIBAD2
PANKI1,PANKI2
PANKI1,PANKI2
PANKI1,PANKI2
MAU_NEW,MAU_OLD
ATRAULI2,NAPP2
BANDA2,PARICHA2
BANDA2,FATEHPR2
SAHIBAD2,MURADNG2
SAHIBAD2,MURADNG2
MURADNG2,MURADNG4
MURADNG2,MURADNG4
MURADNG2,MURADNG4
ORAI2,MAINPUR2
NAUBSTA2,KANPU-PG
ALAHBAD2,CANT_AL
SARNATH2,HARAUA
UNNAO4,PANKI4
MUZAFRN4,MEERUT
ANPARA4,ANPARA-D
ANPARA4,ANPARA-D
SARNATH4,AZAMGAR4
MAINPURI_765,MAINPURI_765
MAINPURI_765,MAINPURI_765
JASPUR,KALAGARH
RORKEE2,ROORK-PG
NEWCANAL1,GLADINI1
NEWCANAL1,GLADINI1
GLADINI1,SAMBA
IA_PH_I,KISHANGA_CHA
IA_PH_I,KISHANGA_CHA
MOGA,MOGA-PG
MOGA,MOGA-PG
LUDHIANA,MALERKOT
NAUBSTA2,KANPU-PG
KANPU-PG,KANPUR
KANPU-PG,KANPUR
MUZAFRN4,MEERUT
MAINPURI_765,MAINPURI_765
MAINPURI_765,MAINPURI_765
FATEH-PG,SASARAM7
NALLAGAR,PARBT-PO
KISHENPUR,SAMBA
KISHENPUR,SAMBA
GANGUWAL,DHULKOTE
GANGUWAL,DHULKOTE
BHIWANI,CHARKHIDADRI
BHIWANI,CHARKHIDADRI
BHIWANI,CHARKHIDADRI
BHIWANI,CHARKHIDADRI
BAWANA4,MUNDKA
BAWANA4,MUNDKA
RORKEE2,ROORK-PG
ATRAULI2,NAPP2
ADNI,YEMN
ADNI,YEMN
TKL,PLS
TKL,PLS
PRWD,PARAWADA
PRWD,PARAWADA
NALGONDA,HALIA
NAGRJGAR,NSR-LCNL
SADSIPET,SDSVPT132SS
SADSIPET,SDSVPT132SS
NSR-LCNL,KODNDPUR
NARYAHED,MINPUR
GAJWEL132BUS,TUKKAPUR
SHANAGAR,SHADNAGAR
SHANAGAR,SHADNAGAR
SHANAGAR,SHADNAGAR
BIDNAL21,NAVALGND
DONMHLLI,MNRBDPH
JPH-T,MNRBDPH
JPH-T,STRMETLC
BANAHATI,JMKHANDI
BANAHATI,MHLNGP21
GDPH,GDPH-T
GDPH,HDKLDAM
RNBELGLI,UTTUR-T
SEDAM,HUMNABAD
SEDAM,HUMNABAD
HIRIYUR-PG,TALLAK
THIRPATR,THANMGLM
VELAMPLM,KUNNATUR
TAMMAPTY,KOPMPTY
MECHERI1,THUMBPTO
KAVANR21,VALINOK1
NADUPALM,KODUMUD1
TRICHY21,MATHUR1
KALAKUDI,SIRUVCHR
KAMBRPET,SRIRNGM1
SIPCOTPK,PDKTOFF
ARUNACH1,RAJTNGL1
VELLORE,ANAICUT
ADAMANGL,POLUR
VIKRAVND,VILPRM21
ALAGARK2,PASUMAL2
INDARCPP,TSIPCOT2
INDARCPP,TSIPCOT2
KARAI42,PUDUKOT2
MYVADY42,PUGALR42
ORAGADM2,SPKOIL2
S V CHATHRAM,NCTPS-II
S V CHATHRAM,NCTPS-II
IMLR1,MATR1
KKDA1,PRSL1
KKDA1,PRSL1
OTPM,VNKA1
EDAPAN,KAYAMKULAM
VILIYANR,KMPT110
VILIYANR,MPLM110
VILIYANR,MPLM110
MYWADI,CHIKKANURANI
RAIPUR,JINDAL-B1
RAIPUR,JINDAL-B1
JINDAL-B1,JPL_EXTN
F-PURADW,NIRABHIMA13
DURGWAD13,LALKHEDI13
KOTHRUD13,PHURSNG1
KDLGAON2,MSL_INOX
TILLA2,HALKRNI2
COLRCHM2,KOLSHET2
COLRCHM2,KOLSHET2
MURUD220,PRL-GR22
JEUR-220,KARKMB22
ARAY-220,BORVL-T-CBL
WADKHAL2,NDIL
WADKHAL2,NDIL
WADKHAL2,NDIL
NANDCTY2,KONDHWA220
LONIKHAND,KARAD
AKOLA,NANDGAONPETH
AGIYOL,IDAR
GANDHINAGAR,SOJA
GANDHINAGAR,SOJA
WANAKBORI,WANAKBORI
VARSANA,JAMNWDWF2
SUVA,DGEN2
MUNDRA,VERSANA
MUNDRA,VERSANA
MUNDRA,SAMI-F2
GANDHI SAGAR,SUWASRA
UJJAIN,GHOSLA
JULWANIA,BADWANI
BADNAGR,BADNAGAR
BADNAGR,BADNAGAR
KORE1,CHAMPA
KORE1,CHAMPA
MOPKA,MOPKA
MOPKA,MOPKA
MAPUSA,AMONA
JABALPUR,VINDHYACHAL
JABALPUR,VINDHYACHAL
JABALPUR,VINDHYACHAL
TRMBY110,TR_CH3_T
TR_CH3_T,CHMBRT11-2
ARAY-220,BORVL-T-CBL
JABALPUR,VINDHYACHAL
JABALPUR,VINDHYACHAL
JABALPUR,VINDHYACHAL
RAIPUR,JINDAL-B1
RAIPUR,JINDAL-B1
